Gene	p	q	HGNC_MatchType	HGNC_ApprovedSymbol	HGNC_ApprovedName	HGNC_ID	HGNC_Location
ADIPOR2	2.59E-05	4.15E-02	Approved symbol	ADIPOR2	adiponectin receptor 2	HGNC:24041	12p13.33
AFMID	5.26E-05	4.89E-02	Approved symbol	AFMID	arylformamidase	HGNC:20910	17q25.3
AIDA	1.32E-04	7.33E-02	Approved symbol	AIDA	"axin interactor, dorsalization associated"	HGNC:25761	1q41
ARHGAP19	7.20E-04	9.91E-02	Approved symbol	ARHGAP19	Rho GTPase activating protein 19	HGNC:23724	10q24.1
ATF7	4.16E-04	9.26E-02	Approved symbol	ATF7	activating transcription factor 7	HGNC:792	12q13.13
BBX	2.26E-04	8.60E-02	Approved symbol	BBX	"BBX, HMG-box containing"	HGNC:14422	3q13.12
BEX1	4.32E-04	9.26E-02	Approved symbol	BEX1	brain expressed X-linked 1	HGNC:1036	Xq22.1
C12orf24	2.49E-06	2.27E-02	Previous symbol	FAM216A	family with sequence similarity 216 member A	HGNC:30180	12q24.11
C2orf68	6.31E-04	9.40E-02	Approved symbol	C2orf68	chromosome 2 open reading frame 68	HGNC:34353	2p11.2
C3orf71	5.16E-04	9.26E-02	Previous symbol	ARIH2OS	ariadne RBR E3 ubiquitin protein ligase 2 opposite strand	HGNC:34425	3p21.31
CBFA2T2	3.21E-04	9.24E-02	Approved symbol	CBFA2T2	CBFA2/RUNX1 translocation partner 2	HGNC:1536	20q11.21-q11.22
CBR1	2.25E-04	8.60E-02	Approved symbol	CBR1	carbonyl reductase 1	HGNC:1548	21q22.12
CCDC152	3.14E-06	2.27E-02	Approved symbol	CCDC152	coiled-coil domain containing 152	HGNC:34438	5p12
CHDH	4.35E-04	9.26E-02	Approved symbol	CHDH	choline dehydrogenase	HGNC:24288	3p21.1
CLMN	1.44E-04	7.45E-02	Approved symbol	CLMN	calmin	HGNC:19972	14q32.13
CNNM3	4.89E-05	4.89E-02	Approved symbol	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	HGNC:104	2q11.2
CREB5	2.53E-04	8.72E-02	Approved symbol	CREB5	cAMP responsive element binding protein 5	HGNC:16844	7p15.1-p14.3
DHTKD1	2.79E-04	8.98E-02	Approved symbol	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	HGNC:23537	10p14
DYNLT3	6.35E-05	5.40E-02	Approved symbol	DYNLT3	dynein light chain Tctex-type 3	HGNC:11694	Xp11.4
ENSA	3.17E-04	9.24E-02	Approved symbol	ENSA	endosulfine alpha	HGNC:3360	1q21.3
ETS2	3.71E-04	9.24E-02	Approved symbol	ETS2	"ETS proto-oncogene 2, transcription factor"	HGNC:3489	21q22.2
FAM123A	5.38E-06	2.57E-02	Previous symbol	AMER2	APC membrane recruitment protein 2	HGNC:26360	13q12.13
FAM53B	3.37E-04	9.24E-02	Approved symbol	FAM53B	family with sequence similarity 53 member B	HGNC:28968	10q26.13
FER	4.85E-04	9.26E-02	Approved symbol	FER	FER tyrosine kinase	HGNC:3655	5q21.3
FGF13	1.30E-04	7.33E-02	Approved symbol	FGF13	fibroblast growth factor 13	HGNC:3670	Xq26.3-q27.1
FLCN	5.05E-05	4.89E-02	Approved symbol	FLCN	folliculin	HGNC:27310	17p11.2
FRYL	2.66E-04	8.72E-02	Approved symbol	FRYL	FRY like transcription coactivator	HGNC:29127	4p11
GEMIN8	2.16E-05	4.04E-02	Approved symbol	GEMIN8	gem nuclear organelle associated protein 8	HGNC:26044	Xp22.2
GPM6B	5.77E-04	9.26E-02	Approved symbol	GPM6B	glycoprotein M6B	HGNC:4461	Xp22.2
GPRC5B	1.02E-04	6.93E-02	Approved symbol	GPRC5B	G protein-coupled receptor class C group 5 member B	HGNC:13308	16p12.3
GTF2E1	5.81E-04	9.26E-02	Approved symbol	GTF2E1	general transcription factor IIE subunit 1	HGNC:4650	3q13.33
HEATR2	5.75E-04	9.26E-02	Previous symbol	DNAAF5	dynein axonemal assembly factor 5	HGNC:26013	7p22.3
HIP1	1.55E-04	7.45E-02	Approved symbol	HIP1	huntingtin interacting protein 1	HGNC:4913	7q11.23
HMHA1	9.73E-05	6.93E-02	Previous symbol	ARHGAP45	Rho GTPase activating protein 45	HGNC:17102	19p13.3
ICA1	1.71E-05	4.04E-02	Approved symbol	ICA1	islet cell autoantigen 1	HGNC:5343	7p21.3
IDH1	6.17E-04	9.38E-02	Approved symbol	IDH1	"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"	HGNC:5382	2q34
IGSF11	2.33E-04	8.62E-02	Approved symbol	IGSF11	immunoglobulin superfamily member 11	HGNC:16669	3q13.32
JAGN1	2.92E-04	9.18E-02	Approved symbol	JAGN1	jagunal homolog 1	HGNC:26926	3p25.3
KAZN	5.64E-04	9.26E-02	Approved symbol	KAZN	"kazrin, periplakin interacting protein"	HGNC:29173	1p36.21
KCNAB3	7.02E-04	9.84E-02	Approved symbol	KCNAB3	potassium voltage-gated channel subfamily A regulatory beta subunit 3	HGNC:6230	17p13.1
KCNJ2	2.48E-04	8.72E-02	Approved symbol	KCNJ2	potassium voltage-gated channel subfamily J member 2	HGNC:6263	17q24.3
KIAA1161	3.71E-04	9.24E-02	Previous symbol	MYORG	myogenesis regulating glycosidase (putative)	HGNC:19918	9p13.3
LDHD	6.26E-04	9.40E-02	Approved symbol	LDHD	lactate dehydrogenase D	HGNC:19708	16q23.1
LIMK1	7.12E-06	2.57E-02	Approved symbol	LIMK1	LIM domain kinase 1	HGNC:6613	7q11.23
LOC100170939	9.18E-05	6.93E-02	Unmatched				
LRRC1	6.97E-04	9.84E-02	Approved symbol	LRRC1	leucine rich repeat containing 1	HGNC:14307	6p12.1
MED12	3.07E-04	9.24E-02	Approved symbol	MED12	mediator complex subunit 12	HGNC:11957	Xq13.1
METTL7A	4.59E-04	9.26E-02	Approved symbol	METTL7A	methyltransferase like 7A	HGNC:24550	12q13.12
